backbone,feat_dim,protocol,acc,bal_acc,macro_f1,bin_acc,bin_recyc_recall,recall[non_recyclable],recall[organic],recall[recyclable],n_train,n_test
resnet18,512,mixed,0.8450769948670088,0.8454618767333345,0.8375771446213859,0.864209052729818,0.8611369990680335,0.8191082802547771,0.856140350877193,0.8611369990680335,10714,2143
resnet18,512,d2r,0.7149643705463183,0.7278050895654885,0.7021479521865087,0.7527051992610188,0.7298020331728197,0.6791946308724832,0.7744186046511627,0.7298020331728197,3137,3789
resnet18,512,r2d,0.8098360655737705,0.7920584853998802,0.7986354235944931,0.8314207650273224,0.8187702265372169,0.8194244604316546,0.7379807692307693,0.8187702265372169,3248,3660
mobilenetv3_l,1280,mixed,0.8352776481567895,0.8439777495830763,0.8406653994363781,0.8478768082127858,0.83690587138863,0.8178343949044586,0.8771929824561403,0.83690587138863,10714,2143
mobilenetv3_l,1280,d2r,0.7556083399313803,0.7622684124498327,0.7415029161261578,0.7909738717339667,0.7817014446227929,0.7120805369127516,0.7930232558139535,0.7817014446227929,3137,3789
mobilenetv3_l,1280,r2d,0.8237704918032787,0.8064611641530689,0.8184888414514923,0.8371584699453551,0.8446601941747572,0.8151079136690648,0.7596153846153846,0.8446601941747572,3248,3660
effnet_b0_ns,1280,mixed,0.9043397106859543,0.9083540636594147,0.9099257211478567,0.9099393373775082,0.8974836905871388,0.9082802547770701,0.9192982456140351,0.8974836905871388,10714,2143
effnet_b0_ns,1280,d2r,0.811031934547374,0.8282609206996683,0.8060147815148996,0.8347849036685141,0.8111289459604066,0.7899328859060403,0.8837209302325582,0.8111289459604066,3137,3789
effnet_b0_ns,1280,r2d,0.8617486338797814,0.849728885052277,0.8535673665123448,0.8762295081967213,0.8764832793959008,0.8553956834532375,0.8173076923076923,0.8764832793959008,3248,3660
convnext_t_22k,768,mixed,0.9160055996266916,0.9164706454521152,0.9205120366790559,0.922071861875875,0.9301025163094129,0.8929936305732484,0.9263157894736842,0.9301025163094129,10714,2143
convnext_t_22k,768,d2r,0.85405120084455,0.8617988050289097,0.8543581160851024,0.867247294800739,0.8651685393258427,0.8295302013422818,0.8906976744186047,0.8651685393258427,3137,3789
convnext_t_22k,768,r2d,0.8994535519125683,0.8955041505754818,0.8965887668236497,0.9095628415300546,0.9088457389428263,0.8906474820143885,0.8870192307692307,0.9088457389428263,3248,3660
vit_s16_21k,384,mixed,0.918338777414839,0.9239059443921479,0.9196713072354212,0.9290713952403173,0.9049394221808015,0.9299363057324841,0.9368421052631579,0.9049394221808015,10714,2143
vit_s16_21k,384,d2r,0.8078648719978886,0.8164039498999681,0.7986704858359959,0.8295064660860385,0.8282504012841091,0.7697986577181208,0.8511627906976744,0.8282504012841091,3137,3789
vit_s16_21k,384,r2d,0.8767759562841531,0.8736289845395279,0.8756071053700062,0.8877049180327868,0.8861920172599784,0.8669064748201439,0.8677884615384616,0.8861920172599784,3248,3660
dinov2_vits14,384,mixed,0.9244050396640224,0.9284614819311434,0.9276380769532556,0.9300046663555763,0.918918918918919,0.9261146496815287,0.9403508771929825,0.918918918918919,10714,2143
dinov2_vits14,384,d2r,0.8324096067564001,0.846128054774672,0.8313758277241586,0.8508841382950647,0.8726591760299626,0.7610738255033557,0.9046511627906977,0.8726591760299626,3137,3789
dinov2_vits14,384,r2d,0.8808743169398907,0.8822754181519111,0.880174060335229,0.8901639344262295,0.8710895361380798,0.8935251798561151,0.8822115384615384,0.8710895361380798,3248,3660
